num,question,rewrite_short_le6,rewrite_special_term_or_alias,rewrite_wikipedia_style,rewrite_any,categories,rationale,smart_rewrite,use_rewrite_for_rerank,rerank_reason,rerank_rewrite
11,What are the typically biomedical characteristics of primary adrenal insufficiency?,False,False,True,True,wikipedia_style,Wikipedia-style broad wording; convert to a clinically anchored facet.,What are the common clinical features and laboratory findings of primary adrenal insufficiency?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
12,Please list the common clinical characteristic of the Heidenhain variant of Creutzfeldt–Jakob disease (HvCJD),False,True,True,True,special_term_or_alias; wikipedia_style,Rare disease variant + acronym; fix singular/plural and keep exact phenotype facet.,What are the common clinical features of the Heidenhain variant of Creutzfeldt–Jakob disease (HvCJD)?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What are the common clinical features of the Heidenhain variant of Creutzfeldt–Jakob disease (HvCJD)?
13,Does whole-chromosome silencing occur in somatic cells?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
14,Are eating disorders common in male adolescents?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
15,What is the estimated incidence of endogenous Cushing's Syndrome in the human population?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
16,Please list the types of medication errors,False,False,True,True,wikipedia_style,Broad list question; make the classification facet explicit.,What are the main types and classifications of medication errors?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
17,What is the most common genotoxic factor that humans are exposed to?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
18,What are the recommended screening tests to diagnose the presence of Cushing's Syndrome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
19,Is Seborrhea a condition that affects the gastrointestinal tract?,False,False,True,True,wikipedia_style,Broad yes/no with weak retrieval cues; keep entity type explicit.,Is seborrhea a skin disorder rather than a gastrointestinal condition?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
20,What impact could biosynthetic meat have on human health?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
21,What are common blood cell changes caused by elevated cortisol levels?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
22,is Rheumatic heart disease caused by Staphylococcus Aureus?,False,True,False,True,special_term_or_alias,Normalize organism spelling/capitalization; preserve causation test.,Is rheumatic heart disease caused by Staphylococcus aureus?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Is rheumatic heart disease caused by Staphylococcus aureus?
23,In which organisms is a PI4KIIalpha (PI4KIIα) orthologue present?,False,True,False,True,special_term_or_alias,Rare symbol-heavy biology query; add species/orthologue anchor.,In which organisms or species is a PI4KIIalpha / PI4KIIα orthologue found?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",In which organisms is a PI4KIIalpha / PI4KIIα orthologue present?
24,How often is hypertension present in patients with Cushing's Syndrome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
25,Please list the FDA approved Janus kinase inhibitors,False,False,True,True,wikipedia_style,Drug class query; keep exact approved-status facet.,Which Janus kinase (JAK) inhibitors are FDA approved?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
26,How does protein localization to lipid droplets occur?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
27,How do glucocorticoid withdrawal syndrome's symptoms evolve over time after surgical remission of Cushing's Syndrome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
28,"Relative to intestinal disease, what are HETE and HODE",False,True,False,True,special_term_or_alias,Acronym-heavy and relation underspecified; add the intestinal disease role.,"What are HETE and HODE, and what is their role in intestinal disease?",yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What are HETE and HODE in intestinal disease?
29,Can proteins acquire new functions after forming amyloid structures?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
30,How often do patients fail to self-administer hydrocortisone injections in cases of acute adrenal crisis?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
31,What is a trichoscope used for?,True,True,True,True,short<=6; special_term_or_alias; wikipedia_style,Short tool name likely weak for retrieval; add domain/use facet.,"What is trichoscopy used for in dermatology, and what does a trichoscope examine?",no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
32,How many kinases belong to the serine/arginine kinase family of the human kinome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
33,What are the subtypes of Cushing Syndrome?,False,False,True,True,wikipedia_style,Broad subtype question; normalize disease name style.,What are the major subtypes of Cushing syndrome?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
34,What are the symptoms of TAFRO syndrome?,False,True,True,True,special_term_or_alias; wikipedia_style,Rare syndrome acronym; keep symptom facet but add clinical-feature anchor.,What are the common clinical features and symptoms of TAFRO syndrome?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What are the symptoms of TAFRO syndrome?
35,What are the most common diseases caused by dysfunction of the ubiquitin system?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
36,What is the cortisol awakening response (CAR)?,False,True,True,True,special_term_or_alias; wikipedia_style,Definition query with acronym; expand and define the measurement concept.,"What is the cortisol awakening response (CAR), and how is it defined?",yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What is the cortisol awakening response (CAR)?
37,What  type of  blood cell has  CD19 as a surface biomarker?,False,True,False,True,special_term_or_alias,Biomarker symbol likely needs explicit expression relation.,Which blood cell type expresses CD19 as a surface marker?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Which type of blood cell expresses CD19 as a surface marker?
38,What are the most common vectors used in gene therapy?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
39,What is the time to diagnosis for adrenal Cushing's Syndrome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
40,What is the indication for Brineura?,True,True,True,True,short<=6; special_term_or_alias; wikipedia_style,Short brand-name question; add disease/indication anchor.,"What is Brineura indicated for, and which disease does it treat?",yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What is Brineura indicated for?
41,What is the primary energy source for cancer cells?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
42,Are adrenocortical secretory tumors in humans mostly a hereditary disorder?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
43,Please describe alopecia areata.,True,False,True,True,short<=6; wikipedia_style,Pure Wikipedia-style description prompt; use overview facets but keep disease central.,"Alopecia areata overview: clinical features, pathogenesis, and treatment",no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
44,What is the intracellular localization of PI4KIIalpha in human cells?,False,True,False,True,special_term_or_alias,Symbol-heavy localization query; keep both forms of the symbol.,What is the intracellular localization of PI4KIIalpha / PI4KIIα in human cells?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What is the intracellular localization of PI4KIIalpha / PI4KIIα in human cells?
45,What is the prevalence of secondary adrenal insufficiency?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
46,SynNeurGe classification system is associated with what disease?,False,True,True,True,special_term_or_alias; wikipedia_style,Obscure classification-system name; make application target explicit.,Which disease is the SynNeurGe classification system used to classify?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Which disease is associated with the SynNeurGe classification system?
47,How is the pathogenic prion protein formed from the normal prion protein?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
48,What is the average delay in the diagnosis of Cushing's Syndrome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
49,Which of the 5 senses does otospongiosis affect?,False,True,True,True,special_term_or_alias; wikipedia_style,Rare disease term; add common synonym and preserve sensory facet.,Which sense is affected by otospongiosis (otosclerosis)?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Which sense is affected by otospongiosis (otosclerosis)?
50,How is terminal differentiation regulated?,True,False,False,True,short<=6,,,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
51,What are the common symptoms of adrenal insufficiency?,False,False,True,True,wikipedia_style,Common disease but broad symptoms question; keep symptom facet explicit.,What are the common signs and symptoms of adrenal insufficiency?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
52,"Krabbe disease, also known as globoid-cell leukodystrophy is thought to results from what toxic metabolite?",False,True,False,True,special_term_or_alias,Rare disease + synonym pair; sharpen metabolite-accumulation relation.,"In Krabbe disease (globoid cell leukodystrophy), which toxic metabolite is thought to accumulate?",yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.","In Krabbe disease (globoid cell leukodystrophy), which toxic metabolite is implicated?"
53,How do cancer cells attack the cells of the immune system?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
54,When and how does an Addisonian crisis manifest?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
55,Is Calcium dyshomeostasis  assoiciated with Huntington's disease?,False,True,False,True,special_term_or_alias,Misspelling harms matching; normalize disease wording.,Is calcium dyshomeostasis associated with Huntington disease?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Is calcium dyshomeostasis associated with Huntington disease?
56,What are the most common mechanisms leading to amyloid formation?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
57,How is acute adrenal crisis treated?,True,False,True,True,short<=6; wikipedia_style,Short treatment query; add common clinical synonym.,What is the treatment of acute adrenal crisis (Addisonian crisis)?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
58,is Paracoccidioidomycosis caused by a parasite?,True,True,False,True,short<=6; special_term_or_alias,Short rare infection name; pathogen class contrast improves retrieval.,Is paracoccidioidomycosis caused by a parasite or by a fungus?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Is paracoccidioidomycosis caused by a parasite or a fungus?
59,What are the most common bacteria in the human skin microbiome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
60,What is the mean time to diagnosis for ectopic Cushing's Syndrome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
61,What is the realtionship between survivin and nasopharyngeal cancer?,False,True,False,True,special_term_or_alias,Typo + oncology entity relation; add standard gene alias.,What is the relationship between survivin (BIRC5) expression and nasopharyngeal carcinoma?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What is the relationship between survivin (BIRC5) and nasopharyngeal cancer?
62,Is the inactive X chromosome (Barr body) less susceptible to genotoxic damage or mutations than the active X chromosome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
63,What are the causes of the different categories of adrenal insufficiency?,False,False,True,True,wikipedia_style,Broad cause question; make the adrenal-insufficiency categories explicit.,"What are the causes of primary, secondary, and tertiary adrenal insufficiency?",no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
64,Please list the common side effects of Kymriah,False,True,True,True,special_term_or_alias; wikipedia_style,Brand name only; add generic name and adverse-effect facet.,What are the common adverse effects and side effects of Kymriah (tisagenlecleucel)?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What are the common side effects of Kymriah (tisagenlecleucel)?
65,Which factors trigger eustress responses in the body?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
66,Is Cushing Syndrome present in canine populations?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
67,Does a zoonosis affect humans?,True,False,True,True,short<=6; wikipedia_style,Very short generic wording; make zoonotic transmission explicit.,Can zoonotic diseases be transmitted from animals to humans?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
68,How do larval salivary glands differ from adult salivary glands in Drosophila melanogaster?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
69,How often is leukocytosis present in patients with Cushing's Syndrome?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
70,What are the hallmarks of Acro-cardio-facial syndrome (ACFS),False,True,True,True,special_term_or_alias; wikipedia_style,Rare syndrome + acronym; add clinical-feature anchor.,What are the characteristic clinical features and hallmarks of acro-cardio-facial syndrome (ACFS)?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What are the hallmarks of acro-cardio-facial syndrome (ACFS)?
71,What are the effects of D-amino acids on human health?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
72,What is the mean time to diagnosis for pituitary Chushing's Syndrome?,False,True,False,True,special_term_or_alias,Misspelling on a key entity; normalize disease term.,What is the mean time to diagnosis for pituitary Cushing disease?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What is the mean time to diagnosis for pituitary Cushing disease?
73,Has Vitamin D therapy been shown to improve cognitive function in Alzheimers disease?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
74,Can AlphaFold be used in a reverse manner to predict a possible amino acid sequence from a desired protein structure (inverse protein folding)?,False,True,False,True,special_term_or_alias,Tool name + specialized concept; make inverse folding explicit.,"Can AlphaFold be used for inverse protein folding, that is, predicting amino acid sequence from a target protein structure?",yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Can AlphaFold be used for inverse protein folding from structure to sequence?
75,Is Cushing syndrome present in feline populations?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
76,Is Heck's disease caused by a bacterium?,False,True,True,True,special_term_or_alias; wikipedia_style,Rare disease alias; contrast the likely pathogen class.,Is Heck disease (focal epithelial hyperplasia) caused by bacteria or by a virus?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Is Heck disease (focal epithelial hyperplasia) caused by bacteria or by a virus?
77,Is situs inversus totalis compatible with life?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
78,What is the treatment of choice for Cushing's Disease?,False,False,True,True,wikipedia_style,Broad treatment query; make first-line therapy explicit.,What is the first-line treatment of choice for Cushing disease?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
79,Why do men die earlier than women?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
80,What is the difference between Cushing Syndrome and Cushing Disease?,False,False,True,True,wikipedia_style,Broad comparison query; specify clinical distinction.,What is the clinical difference between Cushing syndrome and Cushing disease?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
